                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.94667,                0.82131,                 1.0874,                0.74515,                0.64252,                0.71568,                0.51034,                 1.0766,                0.94764,                 1.1376,               0.003169,               0.003169,               0.003169
                     71,                0.94034,                0.81521,                 1.0844,                0.74912,                0.64219,                0.71613,                0.51065,                 1.0762,                0.94785,                 1.1373,                0.00307,                0.00307,                0.00307
                     72,                0.93681,                0.80515,                 1.0831,                 0.7512,                0.64132,                0.71559,                0.51054,                 1.0765,                0.94765,                 1.1379,               0.002971,               0.002971,               0.002971
                     73,                0.93812,                0.80344,                 1.0856,                 0.7489,                0.64317,                 0.7155,                0.51045,                 1.0763,                0.94595,                 1.1379,               0.002872,               0.002872,               0.002872
                     74,                0.92931,                0.79806,                 1.0809,                0.74892,                0.64357,                0.71574,                0.51041,                 1.0764,                0.94562,                 1.1379,               0.002773,               0.002773,               0.002773
                     75,                0.93299,                0.79265,                 1.0809,                  0.745,                0.64293,                0.71513,                0.51014,                 1.0767,                0.94565,                 1.1379,               0.002674,               0.002674,               0.002674
                     76,                0.92035,                0.78527,                  1.077,                0.74588,                0.64255,                0.71478,                0.50977,                 1.0765,                0.94613,                 1.1384,               0.002575,               0.002575,               0.002575
                     77,                0.92498,                0.78078,                 1.0753,                0.74559,                0.64175,                0.71425,                0.50972,                 1.0766,                0.94602,                 1.1386,               0.002476,               0.002476,               0.002476
                     78,                0.91334,                0.77164,                 1.0749,                0.74636,                0.64269,                0.71436,                0.50971,                  1.077,                0.94569,                  1.139,               0.002377,               0.002377,               0.002377
                     79,                0.91467,                0.76946,                 1.0719,                0.74931,                0.64121,                 0.7142,                0.50982,                 1.0775,                0.94593,                 1.1392,               0.002278,               0.002278,               0.002278
                     80,                0.90878,                0.75975,                  1.067,                0.75126,                0.64029,                0.71462,                0.50968,                 1.0775,                0.94621,                 1.1391,               0.002179,               0.002179,               0.002179
                     81,                0.90973,                0.75879,                 1.0677,                0.75187,                0.63908,                0.71448,                0.50998,                 1.0776,                0.94663,                 1.1388,                0.00208,                0.00208,                0.00208
                     82,                0.91005,                0.75597,                 1.0657,                0.75258,                0.63733,                0.71462,                 0.5098,                  1.078,                0.94688,                  1.139,               0.001981,               0.001981,               0.001981
                     83,                 0.9028,                0.75076,                 1.0637,                0.75507,                0.63734,                0.71502,                0.50979,                 1.0781,                0.94711,                  1.139,               0.001882,               0.001882,               0.001882
                     84,                 0.9024,                0.74639,                 1.0615,                0.75293,                0.63808,                0.71455,                0.50962,                 1.0783,                0.94737,                  1.139,               0.001783,               0.001783,               0.001783
                     85,                 0.8956,                0.73237,                 1.0603,                0.75255,                0.63958,                0.71445,                0.50972,                 1.0784,                0.94814,                 1.1391,               0.001684,               0.001684,               0.001684
                     86,                0.89259,                0.73483,                 1.0617,                 0.7519,                0.63992,                0.71397,                0.50977,                 1.0788,                0.94821,                 1.1394,               0.001585,               0.001585,               0.001585
                     87,                0.88974,                0.72589,                 1.0561,                0.75272,                0.63776,                0.71395,                0.50982,                 1.0787,                0.94881,                 1.1394,               0.001486,               0.001486,               0.001486
                     88,                0.88559,                0.72458,                 1.0552,                0.75227,                0.63791,                0.71362,                0.50928,                  1.079,                0.94913,                 1.1397,               0.001387,               0.001387,               0.001387
                     89,                0.88606,                0.71788,                 1.0573,                0.74967,                0.63954,                0.71388,                0.50957,                 1.0792,                0.94958,                 1.1399,               0.001288,               0.001288,               0.001288
                     90,                0.88362,                0.71558,                 1.0509,                0.75083,                0.63944,                0.71374,                 0.5097,                 1.0794,                0.94974,                   1.14,               0.001189,               0.001189,               0.001189
                     91,                0.87999,                0.70721,                 1.0516,                0.74969,                0.63997,                0.71417,                0.50966,                 1.0797,                0.95016,                 1.1401,                0.00109,                0.00109,                0.00109
                     92,                0.87679,                0.70119,                   1.05,                0.75016,                 0.6399,                  0.714,                0.50962,                   1.08,                0.95067,                 1.1404,               0.000991,               0.000991,               0.000991
                     93,                0.86824,                0.69368,                 1.0459,                0.74395,                 0.6452,                0.71415,                0.50952,                 1.0803,                0.95118,                 1.1406,               0.000892,               0.000892,               0.000892
                     94,                0.87606,                0.70009,                 1.0514,                 0.7452,                0.64383,                0.71412,                0.50973,                 1.0805,                0.95147,                 1.1408,               0.000793,               0.000793,               0.000793
                     95,                0.86579,                0.68521,                  1.044,                0.74497,                0.64283,                0.71413,                0.50959,                 1.0808,                0.95218,                 1.1409,               0.000694,               0.000694,               0.000694
                     96,                 0.8611,                0.68512,                 1.0424,                 0.7472,                0.64143,                0.71393,                0.50932,                  1.081,                0.95259,                  1.141,               0.000595,               0.000595,               0.000595
                     97,                0.86531,                0.68428,                 1.0444,                0.74852,                0.64157,                0.71412,                0.50917,                 1.0813,                0.95294,                 1.1412,               0.000496,               0.000496,               0.000496
                     98,                0.86228,                0.67466,                 1.0413,                0.74705,                0.64272,                 0.7142,                0.50933,                 1.0814,                0.95321,                 1.1412,               0.000397,               0.000397,               0.000397
                     99,                0.85532,                0.67651,                  1.042,                0.74562,                0.64472,                0.71388,                0.50902,                 1.0817,                0.95375,                 1.1414,               0.000298,               0.000298,               0.000298
